%MISS,GETS,NONREC,SLOW,REC,TIER2,TIER3,%UTIL,AVER_HTM,MON-NAME,PATTERN-NAME,PATTERN-NO
5,61158,61158,3182,0,61801830,1899720,99,616851,java/lang/Object@000000060A25E528,Hot2,2
4,77272,77272,2904,0,77266196,2374881,99,487833,java/lang/Object@000000060A25B840,Hot2,2
4,62194,62194,2238,0,53400284,1636476,99,606544,java/lang/Object@000000060A25BAB0,Hot2,2
4,60993,60993,2165,0,55723727,1709992,99,619574,java/lang/Object@000000060A25DFF8,Hot2,2
6,61355,61355,3495,0,69543239,2140782,99,614035,java/lang/Object@000000060A25B780,Hot2,2
4,71528,71528,2944,0,66521820,2041437,99,525555,java/lang/Object@000000060A258558,Hot2,2
4,70877,70877,2873,0,62691071,1922831,99,532308,java/lang/Object@000000060A25B438,Hot2,2
4,64357,64357,2744,0,60757839,1865346,99,585414,java/lang/Object@000000060A25E528,Hot2,2
4,60424,60424,2442,0,59651304,1832698,99,624055,java/lang/Object@000000060A25B2D0,Hot2,2
4,68341,68341,2733,0,65638663,2015704,99,551540,java/lang/Object@000000060A25B2F8,Hot2,2
4,71601,71601,2631,0,63251786,1939031,99,526316,java/lang/Object@000000060A25B9B8,Hot2,2
5,63027,63027,3227,0,69386761,2134815,99,597751,java/lang/Object@000000060A25B7B8,Hot2,2
5,63734,63734,3024,0,61846694,1899093,99,592100,java/lang/Object@000000060A25B050,Hot2,2
3,73705,73705,2388,0,59807970,1831422,99,511223,java/lang/Object@000000060A25B808,Hot2,2
3,72344,72344,2390,0,60613780,1856917,99,520691,java/lang/Object@000000060A25BD48,Hot2,2
4,72491,72491,2620,0,64591797,1981131,99,520843,java/lang/Object@000000060A25B790,Hot2,2
3,71613,71613,2260,0,60182347,1843593,99,526275,java/lang/Object@000000060A25BD48,Hot2,2
5,65133,65133,2934,0,65409343,2010060,99,578672,java/lang/Object@000000060A25E398,Hot2,2
3,75487,75487,2474,0,64282761,1971265,99,498880,java/lang/Object@000000060A25B628,Hot2,2
4,76292,76292,2888,0,71188135,2185532,99,493931,java/lang/Object@000000060A2615C8,Hot2,2
4,65659,65659,2766,0,61798594,1897123,99,574959,java/lang/Object@000000060A25DF38,Hot2,2
3,77807,77807,2387,0,65171282,1996457,99,483436,java/lang/Object@000000060A261980,Hot2,2
4,72911,72911,2584,0,62288715,1908993,99,517153,java/lang/Object@000000060A25BA50,Hot2,2
100,65252,65252,65130,0,165311,3076,92,535578,java/lang/Object@000000060A25B4D0,Hot2,2
4,61693,61693,2493,0,58733545,1803255,99,611148,java/lang/Object@000000060A25E3E8,Hot2,2
4,67154,67154,2665,0,63661227,1954352,99,561189,java/lang/Object@000000060A25B818,Hot2,2
4,66505,66505,2870,0,63629174,1954182,99,567425,java/lang/Object@000000060A25BDA8,Hot2,2
3,68111,68111,2304,0,59804294,1833333,99,554538,java/lang/Object@000000060A261428,Hot2,2
